Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,Resolved_Brand,Brand_Confidence,Brand_Source,Extracted_Attributes,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,MANUFACTURER_NAME,BRAND_NAME,MANUFACTURER_PART_NUMBER,Product Name,SHORT_DESC,LONG_DESC1,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20
AGB15512SG,1x6-12' Slate Gray Grooved - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 6', '')]",Dimension,1 x 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,AGB15512SG,TIMBERTECH 1x6-12' Slate Gray Grooved - Harvest Azek PVC Decking,TIMBERTECH 1x6-12' Slate Gray Grooved - Harvest Azek PVC Decking for industrial and commercial applications.,TIMBERTECH 1x6-12' Slate Gray Grooved - Harvest Azek PVC Decking Manufactured or supplied by Parksite (6151). Available product information includes Dimension: 1 x 6.,TIMBERTECH 1x6-12' Slate Gray Grooved - Harvest Azek PVC Decking designed for industrial and commercial use. Key identified specifications include Dimension: 1 x 6.,Brand: TIMBERTECH,Manufacturer: Parksite (6151),Manufacturer Part Number: AGB15512SG,Dimension: 1 x 6,,,,,,,,,,,,,,,,
AGB15516SG,1x6-16' Slate Gray Grooved - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 6', '')]",Dimension,1 x 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,AGB15516SG,TIMBERTECH 1x6-16' Slate Gray Grooved - Harvest Azek PVC Decking,TIMBERTECH 1x6-16' Slate Gray Grooved - Harvest Azek PVC Decking for industrial and commercial applications.,TIMBERTECH 1x6-16' Slate Gray Grooved - Harvest Azek PVC Decking Manufactured or supplied by Parksite (6151). Available product information includes Dimension: 1 x 6.,TIMBERTECH 1x6-16' Slate Gray Grooved - Harvest Azek PVC Decking designed for industrial and commercial use. Key identified specifications include Dimension: 1 x 6.,Brand: TIMBERTECH,Manufacturer: Parksite (6151),Manufacturer Part Number: AGB15516SG,Dimension: 1 x 6,,,,,,,,,,,,,,,,
AGB15520SG,1x6-20' Slate Gray Grooved - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 6', '')]",Dimension,1 x 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,AGB15520SG,TIMBERTECH 1x6-20' Slate Gray Grooved - Harvest Azek PVC Decking,TIMBERTECH 1x6-20' Slate Gray Grooved - Harvest Azek PVC Decking for industrial and commercial applications.,TIMBERTECH 1x6-20' Slate Gray Grooved - Harvest Azek PVC Decking Manufactured or supplied by Parksite (6151). Available product information includes Dimension: 1 x 6.,TIMBERTECH 1x6-20' Slate Gray Grooved - Harvest Azek PVC Decking designed for industrial and commercial use. Key identified specifications include Dimension: 1 x 6.,Brand: TIMBERTECH,Manufacturer: Parksite (6151),Manufacturer Part Number: AGB15520SG,Dimension: 1 x 6,,,,,,,,,,,,,,,,
543140016,1nx6-16' Biscayne Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543140016,1nx6-16' Biscayne Sq Edge - Trex Transcend Lineage Decking,1nx6-16' Biscayne Sq Edge - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-16' Biscayne Sq Edge - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-16' Biscayne Sq Edge - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543140016,,,,,,,,,,,,,,,,,
543140020,1nx6-20' Biscayne Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543140020,1nx6-20' Biscayne Sq Edge - Trex Transcend Lineage Decking,1nx6-20' Biscayne Sq Edge - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-20' Biscayne Sq Edge - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-20' Biscayne Sq Edge - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543140020,,,,,,,,,,,,,,,,,
543142016,1nx6-16' Carmel Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543142016,1nx6-16' Carmel Sq Edge - Trex Transcend Lineage Decking,1nx6-16' Carmel Sq Edge - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-16' Carmel Sq Edge - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-16' Carmel Sq Edge - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543142016,,,,,,,,,,,,,,,,,
543142020,1nx6-20' Carmel Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543142020,1nx6-20' Carmel Sq Edge - Trex Transcend Lineage Decking,1nx6-20' Carmel Sq Edge - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-20' Carmel Sq Edge - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-20' Carmel Sq Edge - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543142020,,,,,,,,,,,,,,,,,
543144016,1nx6-16' Island Mist Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543144016,1nx6-16' Island Mist Sq Edge - Trex Transcend Lineage Decking,1nx6-16' Island Mist Sq Edge - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-16' Island Mist Sq Edge - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-16' Island Mist Sq Edge - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543144016,,,,,,,,,,,,,,,,,
543144020,1nx6-20' Island Mist Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543144020,1nx6-20' Island Mist Sq Edge - Trex Transcend Lineage Decking,1nx6-20' Island Mist Sq Edge - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-20' Island Mist Sq Edge - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-20' Island Mist Sq Edge - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543144020,,,,,,,,,,,,,,,,,
543143016,1nx6-16' Jasper Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543143016,1nx6-16' Jasper Sq Edge - Trex Transcend Lineage Decking,1nx6-16' Jasper Sq Edge - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-16' Jasper Sq Edge - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-16' Jasper Sq Edge - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543143016,,,,,,,,,,,,,,,,,
543143020,1nx6-20' Jasper Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543143020,1nx6-20' Jasper Sq Edge - Trex Transcend Lineage Decking,1nx6-20' Jasper Sq Edge - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-20' Jasper Sq Edge - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-20' Jasper Sq Edge - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543143020,,,,,,,,,,,,,,,,,
543141016,1nx6-16' Rainier Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543141016,1nx6-16' Rainier Sq Edge - Trex Transcend Lineage Decking,1nx6-16' Rainier Sq Edge - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-16' Rainier Sq Edge - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-16' Rainier Sq Edge - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543141016,,,,,,,,,,,,,,,,,
543141020,1nx6-20' Rainier Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543141020,1nx6-20' Rainier Sq Edge - Trex Transcend Lineage Decking,1nx6-20' Rainier Sq Edge - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-20' Rainier Sq Edge - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-20' Rainier Sq Edge - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543141020,,,,,,,,,,,,,,,,,
543140412,1nx6-12' Biscayne Grooved - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543140412,1nx6-12' Biscayne Grooved - Trex Transcend Lineage Decking,1nx6-12' Biscayne Grooved - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-12' Biscayne Grooved - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-12' Biscayne Grooved - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543140412,,,,,,,,,,,,,,,,,
543140416,1nx6-16' Biscayne Grooved - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543140416,1nx6-16' Biscayne Grooved - Trex Transcend Lineage Decking,1nx6-16' Biscayne Grooved - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-16' Biscayne Grooved - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-16' Biscayne Grooved - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543140416,,,,,,,,,,,,,,,,,
543140420,1nx6-20' Biscayne Grooved - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543140420,1nx6-20' Biscayne Grooved - Trex Transcend Lineage Decking,1nx6-20' Biscayne Grooved - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-20' Biscayne Grooved - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-20' Biscayne Grooved - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543140420,,,,,,,,,,,,,,,,,
543142412,1nx6-12' Carmel Grooved - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543142412,1nx6-12' Carmel Grooved - Trex Transcend Lineage Decking,1nx6-12' Carmel Grooved - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-12' Carmel Grooved - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-12' Carmel Grooved - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543142412,,,,,,,,,,,,,,,,,
543142416,1nx6-16' Carmel Grooved - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543142416,1nx6-16' Carmel Grooved - Trex Transcend Lineage Decking,1nx6-16' Carmel Grooved - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-16' Carmel Grooved - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-16' Carmel Grooved - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543142416,,,,,,,,,,,,,,,,,
543142420,1nx6-20' Carmel Grooved - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543142420,1nx6-20' Carmel Grooved - Trex Transcend Lineage Decking,1nx6-20' Carmel Grooved - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-20' Carmel Grooved - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-20' Carmel Grooved - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543142420,,,,,,,,,,,,,,,,,
543144412,1nx6-12' Island Mist Grooved - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543144412,1nx6-12' Island Mist Grooved - Trex Transcend Lineage Decking,1nx6-12' Island Mist Grooved - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-12' Island Mist Grooved - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-12' Island Mist Grooved - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543144412,,,,,,,,,,,,,,,,,
543144416,1nx6-16' Island Mist Grooved - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543144416,1nx6-16' Island Mist Grooved - Trex Transcend Lineage Decking,1nx6-16' Island Mist Grooved - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-16' Island Mist Grooved - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-16' Island Mist Grooved - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543144416,,,,,,,,,,,,,,,,,
543144420,1nx6-20' Island Mist Grooved - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543144420,1nx6-20' Island Mist Grooved - Trex Transcend Lineage Decking,1nx6-20' Island Mist Grooved - Trex Transcend Lineage Decking for industrial and commercial applications.,1nx6-20' Island Mist Grooved - Trex Transcend Lineage Decking Manufactured or supplied by U S Lumber (3073).,1nx6-20' Island Mist Grooved - Trex Transcend Lineage Decking designed for industrial and commercial use.,Brand: TREX,Manufacturer: U S Lumber (3073),Manufacturer Part Number: 543144420,,,,,,,,,,,,,,,,,
