Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,Resolved_Brand,Brand_Confidence,Brand_Source,Extracted_Attributes,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,MANUFACTURER_NAME,BRAND_NAME,MANUFACTURER_PART_NUMBER,Product Name
543005016,7/8nx6-16' Malted Barley Sq Edge - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,543005016,7/8nx6-16' Malted Barley Sq Edge - Trex Select 2.0 Decking
543005020,7/8nx6-20' Malted Barley Sq Edge - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,543005020,7/8nx6-20' Malted Barley Sq Edge - Trex Select 2.0 Decking
543005412,7/8nx6-12' Malted Barley Grooved - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,543005412,7/8nx6-12' Malted Barley Grooved - Trex Select 2.0 Decking
543005416,7/8nx6-16' Malted Barley Grooved - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,543005416,7/8nx6-16' Malted Barley Grooved - Trex Select 2.0 Decking
543005420,7/8nx6-20' Malted Barley Grooved - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,543005420,7/8nx6-20' Malted Barley Grooved - Trex Select 2.0 Decking
1516891,7/8nx6-16' Millstone Sq Edge - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,1516891,7/8nx6-16' Millstone Sq Edge - Trex Select 2.0 Decking
1516892,7/8nx6-20' Millstone Sq Edge -Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,1516892,7/8nx6-20' Millstone Sq Edge -Trex Select 2.0 Decking
1516893,7/8nx6-12' Millstone Grooved - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,1516893,7/8nx6-12' Millstone Grooved - Trex Select 2.0 Decking
1516894,7/8nx6-16' Millstone Grooved - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,1516894,7/8nx6-16' Millstone Grooved - Trex Select 2.0 Decking
1516895,7/8nx6-20' Millstone Grooved - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,1516895,7/8nx6-20' Millstone Grooved - Trex Select 2.0 Decking
543007016,7/8nx6-16' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,543007016,7/8nx6-16' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking
543007020,7/8nx6-20' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,543007020,7/8nx6-20' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking
543007412,7/8nx6-12' Whiskey Barrel Grooved - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,543007412,7/8nx6-12' Whiskey Barrel Grooved - Trex Select 2.0 Decking
543007416,7/8nx6-16' Whiskey Barrel Grooved - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,543007416,7/8nx6-16' Whiskey Barrel Grooved - Trex Select 2.0 Decking
543007420,7/8nx6-20' Whiskey Barrel Grooved - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,543007420,7/8nx6-20' Whiskey Barrel Grooved - Trex Select 2.0 Decking
ADR5117512CS,1x12-12' Coastline - Vintage Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,ADR5117512CS,1x12-12' Coastline - Vintage Azek PVC Fascia
ADR5117512MH,1x12-12' Mahogany - Vintage Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,ADR5117512MH,1x12-12' Mahogany - Vintage Azek PVC Fascia
ADR5117512WT,1x12-12' Weathered Teak - Vintage Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,ADR5117512WT,1x12-12' Weathered Teak - Vintage Azek PVC Fascia
ADR5117512AW,1x12-12' American Walnut - Landmark Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,ADR5117512AW,1x12-12' American Walnut - Landmark Azek PVC Fascia
ADR5117512CG,1x12-12' Castle Gate - Landmark Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,ADR5117512CG,1x12-12' Castle Gate - Landmark Azek PVC Fascia
ADR5117512FW,1x12-12' French White Oak - Landmark Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,ADR5117512FW,1x12-12' French White Oak - Landmark Azek PVC Fascia
1508395,1x8-12' Brownstone - Harvest Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 8', '')]",Dimension,1 x 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,1508395,1x8-12' Brownstone - Harvest Azek PVC Fascia
1508396,1x8-12' Slate Gray - Harvest Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 8', '')]",Dimension,1 x 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,1508396,1x8-12' Slate Gray - Harvest Azek PVC Fascia
ADCR5117512BS,1x12-12' Brownstone - Harvest Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,ADCR5117512BS,1x12-12' Brownstone - Harvest Azek PVC Fascia
ADCR5117512SG,1x12-12' Slate Gray - Harvest Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TIMBERTECH,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parksite (6151),TIMBERTECH,ADCR5117512SG,1x12-12' Slate Gray - Harvest Azek PVC Fascia
543140908,1x8-12' Biscayne - Trex Lineage,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,"[('Dimension', '1 x 8', '')]",Dimension,1 x 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543140908,1x8-12' Biscayne - Trex Lineage
543142908,1x8-12' Carmel - Trex Lineage,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,"[('Dimension', '1 x 8', '')]",Dimension,1 x 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543142908,1x8-12' Carmel - Trex Lineage
543143908,1x8-12' Jasper - Trex Lineage,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,"[('Dimension', '1 x 8', '')]",Dimension,1 x 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543143908,1x8-12' Jasper - Trex Lineage
543140912,1x12-12' Biscayne - Trex Lineage,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543140912,1x12-12' Biscayne - Trex Lineage
543142912,1x12-12' Carmel - Trex Lineage,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543142912,1x12-12' Carmel - Trex Lineage
543143912,1x12-12' Jasper - Trex Lineage,TREX,,,U S Lumber (3073),TREX,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U S Lumber (3073),TREX,543143912,1x12-12' Jasper - Trex Lineage
1513715,1x12-12' Hatteras - Trex Lineage,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,1513715,1x12-12' Hatteras - Trex Lineage
1513716,1x12-12' Salt Flat - Trex Lineage,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,1513716,1x12-12' Salt Flat - Trex Lineage
1513722,1x8-12' Honey Grove - Trex Enhance Naturals Fascia,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,"[('Dimension', '1 x 8', '')]",Dimension,1 x 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,1513722,1x8-12' Honey Grove - Trex Enhance Naturals Fascia
1513723,1x12-12' Honey Grove - Trex Enhance Naturals Fascia,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,1513723,1x12-12' Honey Grove - Trex Enhance Naturals Fascia
1513729,1x8-12' Tide Pool - Trex Enhance Basics Fascia,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,"[('Dimension', '1 x 8', '')]",Dimension,1 x 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,1513729,1x8-12' Tide Pool - Trex Enhance Basics Fascia
1513730,1x12-12' Tide Pool - Trex Enhance Basics Fascia,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,"[('Dimension', '1 x 12', '')]",Dimension,1 x 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,1513730,1x12-12' Tide Pool - Trex Enhance Basics Fascia
543076916,1x8-12' Cinnamon Cove - Trex Enhance Naturals Fascia,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,"[('Dimension', '1 x 8', '')]",Dimension,1 x 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,543076916,1x8-12' Cinnamon Cove - Trex Enhance Naturals Fascia
1516876,1x8-12' Golden Hour - Trex Enhance Naturals Fascia,TREX,,,Boise Cascade Building Materials (BOICA),TREX,0.7,Structured source,"[('Dimension', '1 x 8', '')]",Dimension,1 x 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boise Cascade Building Materials (BOICA),TREX,1516876,1x8-12' Golden Hour - Trex Enhance Naturals Fascia
